Max-distance,Start-Dist,Stop-Dist,K1,K2,K3,V-max,Acc-max,epsilon,Travel-time,Wait-time
10000,4000,2999.5,1,1,8.06,50,10,0.48,,
10000,4000,2999.5,1,1,8.06,50,10,0.49,,
10000,4000,2999.5,1,1,8.06,50,10,0.5,,
10000,4000,2998,1,1,8.06,50,10,0.01,,
10000,4000,2998,1,1,8.06,50,10,0.02,,
10000,4000,2998,1,1,8.06,50,10,0.03,,
10000,4000,2998,1,1,8.06,50,10,0.04,,
10000,4000,2998,1,1,8.06,50,10,0.05,,
10000,4000,2998,1,1,8.06,50,10,0.06,,
10000,4000,2998,1,1,8.06,50,10,0.07,,
10000,4000,2998,1,1,8.06,50,10,0.08,,
10000,4000,2998,1,1,8.06,50,10,0.09,,
10000,4000,2998,1,1,8.06,50,10,0.1,,
10000,4000,2998,1,1,8.06,50,10,0.11,,
10000,4000,2998,1,1,8.06,50,10,0.12,,
10000,4000,2998,1,1,8.06,50,10,0.13,,
10000,4000,2998,1,1,8.06,50,10,0.14,,
10000,4000,2998,1,1,8.06,50,10,0.15,,
10000,4000,2998,1,1,8.06,50,10,0.16,,
10000,4000,2998,1,1,8.06,50,10,0.17,,
10000,4000,2998,1,1,8.06,50,10,0.18,,
10000,4000,2998,1,1,8.06,50,10,0.19,,
10000,4000,2998,1,1,8.06,50,10,0.2,,
10000,4000,2998,1,1,8.06,50,10,0.21,,
10000,4000,2998,1,1,8.06,50,10,0.22,,
10000,4000,2998,1,1,8.06,50,10,0.23,,
10000,4000,2998,1,1,8.06,50,10,0.24,,
10000,4000,2998,1,1,8.06,50,10,0.25,,
10000,4000,2998,1,1,8.06,50,10,0.26,,
10000,4000,2998,1,1,8.06,50,10,0.27,,
10000,4000,2998,1,1,8.06,50,10,0.28,,
10000,4000,2998,1,1,8.06,50,10,0.29,,
10000,4000,2998,1,1,8.06,50,10,0.3,,
10000,4000,2998,1,1,8.06,50,10,0.31,,
10000,4000,2998,1,1,8.06,50,10,0.32,,
10000,4000,2998,1,1,8.06,50,10,0.33,,
10000,4000,2998,1,1,8.06,50,10,0.34,,
10000,4000,2998,1,1,8.06,50,10,0.35,,
10000,4000,2998,1,1,8.06,50,10,0.36,,
10000,4000,2998,1,1,8.06,50,10,0.37,,
10000,4000,2998,1,1,8.06,50,10,0.38,,
10000,4000,2998,1,1,8.06,50,10,0.39,,
10000,4000,2998,1,1,8.06,50,10,0.4,,
10000,4000,2998,1,1,8.06,50,10,0.41,,
10000,4000,2998,1,1,8.06,50,10,0.42,,
10000,4000,2998,1,1,8.06,50,10,0.43,,
10000,4000,2998,1,1,8.06,50,10,0.44,,
10000,4000,2998,1,1,8.06,50,10,0.45,,
10000,4000,2998,1,1,8.06,50,10,0.46,,
10000,4000,2998,1,1,8.06,50,10,0.47,,
10000,4000,2998,1,1,8.06,50,10,0.48,,
10000,4000,2998,1,1,8.06,50,10,0.49,,
10000,4000,2998,1,1,8.06,50,10,0.5,,
10000,4000,2999,1,1,7.06,50,10,0.01,,
10000,4000,2999,1,1,7.06,50,10,0.02,,
10000,4000,2999,1,1,7.06,50,10,0.03,,
10000,4000,2999,1,1,7.06,50,10,0.04,,
10000,4000,2999,1,1,7.06,50,10,0.05,,
10000,4000,2999,1,1,7.06,50,10,0.06,,
10000,4000,2999,1,1,7.06,50,10,0.07,,
10000,4000,2999,1,1,7.06,50,10,0.08,,
10000,4000,2999,1,1,7.06,50,10,0.09,,
10000,4000,2999,1,1,7.06,50,10,0.1,,
10000,4000,2999,1,1,7.06,50,10,0.11,,
10000,4000,2999,1,1,7.06,50,10,0.12,,
10000,4000,2999,1,1,7.06,50,10,0.13,,
10000,4000,2999,1,1,7.06,50,10,0.14,,
10000,4000,2999,1,1,7.06,50,10,0.15,,
10000,4000,2999,1,1,7.06,50,10,0.16,,
10000,4000,2999,1,1,7.06,50,10,0.17,,
10000,4000,2999,1,1,7.06,50,10,0.18,,
10000,4000,2999,1,1,7.06,50,10,0.19,,
10000,4000,2999,1,1,7.06,50,10,0.2,,
10000,4000,2999,1,1,7.06,50,10,0.21,,
10000,4000,2999,1,1,7.06,50,10,0.22,,
10000,4000,2999,1,1,7.06,50,10,0.23,,
10000,4000,2999,1,1,7.06,50,10,0.24,,
10000,4000,2999,1,1,7.06,50,10,0.25,,
10000,4000,2999,1,1,7.06,50,10,0.26,,
10000,4000,2999,1,1,7.06,50,10,0.27,,
10000,4000,2999,1,1,7.06,50,10,0.28,,
10000,4000,2999,1,1,7.06,50,10,0.29,,
10000,4000,2999,1,1,7.06,50,10,0.3,,
10000,4000,2999,1,1,7.06,50,10,0.31,,
10000,4000,2999,1,1,7.06,50,10,0.32,,
10000,4000,2999,1,1,7.06,50,10,0.33,,
10000,4000,2999,1,1,7.06,50,10,0.34,,
10000,4000,2999,1,1,7.06,50,10,0.35,,
10000,4000,2999,1,1,7.06,50,10,0.36,,
10000,4000,2999,1,1,7.06,50,10,0.37,,
10000,4000,2999,1,1,7.06,50,10,0.38,,
10000,4000,2999,1,1,7.06,50,10,0.39,,
10000,4000,2999,1,1,7.06,50,10,0.4,,
10000,4000,2999,1,1,7.06,50,10,0.41,,
10000,4000,2999,1,1,7.06,50,10,0.42,,
10000,4000,2999,1,1,7.06,50,10,0.43,,
10000,4000,2999,1,1,7.06,50,10,0.44,,
10000,4000,2999,1,1,7.06,50,10,0.45,,
10000,4000,2999,1,1,7.06,50,10,0.46,,
10000,4000,2999,1,1,7.06,50,10,0.47,,
10000,4000,2999,1,1,7.06,50,10,0.48,,
10000,4000,2999,1,1,7.06,50,10,0.49,,
10000,4000,2999,1,1,7.06,50,10,0.5,,
10000,4000,2999.5,1,1,7.06,50,10,0.01,,
10000,4000,2999.5,1,1,7.06,50,10,0.02,,
10000,4000,2999.5,1,1,7.06,50,10,0.03,,
10000,4000,2999.5,1,1,7.06,50,10,0.04,,
10000,4000,2999.5,1,1,7.06,50,10,0.05,,
10000,4000,2999.5,1,1,7.06,50,10,0.06,,
10000,4000,2999.5,1,1,7.06,50,10,0.07,,
10000,4000,2999.5,1,1,7.06,50,10,0.08,,
10000,4000,2999.5,1,1,7.06,50,10,0.09,,
10000,4000,2999.5,1,1,7.06,50,10,0.1,,
10000,4000,2999.5,1,1,7.06,50,10,0.11,,
10000,4000,2999.5,1,1,7.06,50,10,0.12,,
10000,4000,2999.5,1,1,7.06,50,10,0.13,,
10000,4000,2999.5,1,1,7.06,50,10,0.14,,
10000,4000,2999.5,1,1,7.06,50,10,0.15,,
10000,4000,2999.5,1,1,7.06,50,10,0.16,,
10000,4000,2999.5,1,1,7.06,50,10,0.17,,
10000,4000,2999.5,1,1,7.06,50,10,0.18,,
10000,4000,2999.5,1,1,7.06,50,10,0.19,,
10000,4000,2999.5,1,1,7.06,50,10,0.2,,
10000,4000,2999.5,1,1,7.06,50,10,0.21,,
10000,4000,2999.5,1,1,7.06,50,10,0.22,,
10000,4000,2999.5,1,1,7.06,50,10,0.23,,
10000,4000,2999.5,1,1,7.06,50,10,0.24,,
10000,4000,2999.5,1,1,7.06,50,10,0.25,,
10000,4000,2999.5,1,1,7.06,50,10,0.26,,
10000,4000,2999.5,1,1,7.06,50,10,0.27,,
10000,4000,2999.5,1,1,7.06,50,10,0.28,,
10000,4000,2999.5,1,1,7.06,50,10,0.29,,
10000,4000,2999.5,1,1,7.06,50,10,0.3,,
10000,4000,2999.5,1,1,7.06,50,10,0.31,,
10000,4000,2999.5,1,1,7.06,50,10,0.32,,
10000,4000,2999.5,1,1,7.06,50,10,0.33,,
10000,4000,2999.5,1,1,7.06,50,10,0.34,,
10000,4000,2999.5,1,1,7.06,50,10,0.35,,
10000,4000,2999.5,1,1,7.06,50,10,0.36,,
10000,4000,2999.5,1,1,7.06,50,10,0.37,,
10000,4000,2999.5,1,1,7.06,50,10,0.38,,
10000,4000,2999.5,1,1,7.06,50,10,0.39,,
10000,4000,2999.5,1,1,7.06,50,10,0.4,,
10000,4000,2999.5,1,1,7.06,50,10,0.41,,
10000,4000,2999.5,1,1,7.06,50,10,0.42,,
10000,4000,2999.5,1,1,7.06,50,10,0.43,,
10000,4000,2999.5,1,1,7.06,50,10,0.44,,
10000,4000,2999.5,1,1,7.06,50,10,0.45,,
10000,4000,2999.5,1,1,7.06,50,10,0.46,,
10000,4000,2999.5,1,1,7.06,50,10,0.47,,
10000,4000,2999.5,1,1,7.06,50,10,0.48,,
10000,4000,2999.5,1,1,7.06,50,10,0.49,,
10000,4000,2999.5,1,1,7.06,50,10,0.5,,
10000,4000,2998,1,1,7.06,50,10,0.01,,
10000,4000,2998,1,1,7.06,50,10,0.02,,
10000,4000,2998,1,1,7.06,50,10,0.03,,
10000,4000,2998,1,1,7.06,50,10,0.04,,
10000,4000,2998,1,1,7.06,50,10,0.05,,
10000,4000,2998,1,1,7.06,50,10,0.06,,
10000,4000,2998,1,1,7.06,50,10,0.07,,
10000,4000,2998,1,1,7.06,50,10,0.08,,
10000,4000,2998,1,1,7.06,50,10,0.09,,
10000,4000,2998,1,1,7.06,50,10,0.1,,
10000,4000,2998,1,1,7.06,50,10,0.11,,
10000,4000,2998,1,1,7.06,50,10,0.12,,
10000,4000,2998,1,1,7.06,50,10,0.13,,
10000,4000,2998,1,1,7.06,50,10,0.14,,
10000,4000,2998,1,1,7.06,50,10,0.15,,
10000,4000,2998,1,1,7.06,50,10,0.16,,
10000,4000,2998,1,1,7.06,50,10,0.17,,
10000,4000,2998,1,1,7.06,50,10,0.18,,
10000,4000,2998,1,1,7.06,50,10,0.19,,
10000,4000,2998,1,1,7.06,50,10,0.2,,
10000,4000,2998,1,1,7.06,50,10,0.21,,
10000,4000,2998,1,1,7.06,50,10,0.22,,
10000,4000,2998,1,1,7.06,50,10,0.23,,
10000,4000,2998,1,1,7.06,50,10,0.24,,
10000,4000,2998,1,1,7.06,50,10,0.25,,
10000,4000,2998,1,1,7.06,50,10,0.26,,
10000,4000,2998,1,1,7.06,50,10,0.27,,
10000,4000,2998,1,1,7.06,50,10,0.28,,
10000,4000,2998,1,1,7.06,50,10,0.29,,
10000,4000,2998,1,1,7.06,50,10,0.3,,
10000,4000,2998,1,1,7.06,50,10,0.31,,
10000,4000,2998,1,1,7.06,50,10,0.32,,
10000,4000,2998,1,1,7.06,50,10,0.33,,
10000,4000,2998,1,1,7.06,50,10,0.34,,
10000,4000,2998,1,1,7.06,50,10,0.35,,
10000,4000,2998,1,1,7.06,50,10,0.36,,
10000,4000,2998,1,1,7.06,50,10,0.37,,
10000,4000,2998,1,1,7.06,50,10,0.38,,
10000,4000,2998,1,1,7.06,50,10,0.39,,
10000,4000,2998,1,1,7.06,50,10,0.4,,
10000,4000,2998,1,1,7.06,50,10,0.41,,
10000,4000,2998,1,1,7.06,50,10,0.42,,
10000,4000,2998,1,1,7.06,50,10,0.43,,
10000,4000,2998,1,1,7.06,50,10,0.44,,
10000,4000,2998,1,1,7.06,50,10,0.45,,
10000,4000,2998,1,1,7.06,50,10,0.46,,
10000,4000,2998,1,1,7.06,50,10,0.47,,
10000,4000,2998,1,1,7.06,50,10,0.48,,
10000,4000,2998,1,1,7.06,50,10,0.49,,
10000,4000,2998,1,1,7.06,50,10,0.5,,
10000,4000,2999,1,1,6.06,50,10,0.01,,
10000,4000,2999,1,1,6.06,50,10,0.02,,
10000,4000,2999,1,1,6.06,50,10,0.03,,
10000,4000,2999,1,1,6.06,50,10,0.04,,
10000,4000,2999,1,1,6.06,50,10,0.05,,
10000,4000,2999,1,1,6.06,50,10,0.06,,
10000,4000,2999,1,1,6.06,50,10,0.07,,
10000,4000,2999,1,1,6.06,50,10,0.08,,
10000,4000,2999,1,1,6.06,50,10,0.09,,
10000,4000,2999,1,1,6.06,50,10,0.1,,
10000,4000,2999,1,1,6.06,50,10,0.11,,
10000,4000,2999,1,1,6.06,50,10,0.12,,
10000,4000,2999,1,1,6.06,50,10,0.13,,
10000,4000,2999,1,1,6.06,50,10,0.14,,
10000,4000,2999,1,1,6.06,50,10,0.15,,
10000,4000,2999,1,1,6.06,50,10,0.16,,
10000,4000,2999,1,1,6.06,50,10,0.17,,
10000,4000,2999,1,1,6.06,50,10,0.18,,
10000,4000,2999,1,1,6.06,50,10,0.19,,
10000,4000,2999,1,1,6.06,50,10,0.2,,
10000,4000,2999,1,1,6.06,50,10,0.21,,
10000,4000,2999,1,1,6.06,50,10,0.22,,
10000,4000,2999,1,1,6.06,50,10,0.23,,
10000,4000,2999,1,1,6.06,50,10,0.24,,
10000,4000,2999,1,1,6.06,50,10,0.25,,
10000,4000,2999,1,1,6.06,50,10,0.26,,
10000,4000,2999,1,1,6.06,50,10,0.27,,
10000,4000,2999,1,1,6.06,50,10,0.28,,
10000,4000,2999,1,1,6.06,50,10,0.29,,
10000,4000,2999,1,1,6.06,50,10,0.3,,
10000,4000,2999,1,1,6.06,50,10,0.31,,
10000,4000,2999,1,1,6.06,50,10,0.32,,
10000,4000,2999,1,1,6.06,50,10,0.33,,
10000,4000,2999,1,1,6.06,50,10,0.34,,
10000,4000,2999,1,1,6.06,50,10,0.35,,
10000,4000,2999,1,1,6.06,50,10,0.36,,
10000,4000,2999,1,1,6.06,50,10,0.37,,
10000,4000,2999,1,1,6.06,50,10,0.38,,
10000,4000,2999,1,1,6.06,50,10,0.39,,
10000,4000,2999,1,1,6.06,50,10,0.4,,
10000,4000,2999,1,1,6.06,50,10,0.41,,
10000,4000,2999,1,1,6.06,50,10,0.42,,
10000,4000,2999,1,1,6.06,50,10,0.43,,
10000,4000,2999,1,1,6.06,50,10,0.44,,
10000,4000,2999,1,1,6.06,50,10,0.45,,
10000,4000,2999,1,1,6.06,50,10,0.46,,
10000,4000,2999,1,1,6.06,50,10,0.47,,
10000,4000,2999,1,1,6.06,50,10,0.48,,
10000,4000,2999,1,1,6.06,50,10,0.49,,
10000,4000,2999,1,1,6.06,50,10,0.5,,
10000,4000,2999.5,1,1,6.06,50,10,0.01,,
10000,4000,2999.5,1,1,6.06,50,10,0.02,,
10000,4000,2999.5,1,1,6.06,50,10,0.03,,
10000,4000,2999.5,1,1,6.06,50,10,0.04,,
10000,4000,2999.5,1,1,6.06,50,10,0.05,,
10000,4000,2999.5,1,1,6.06,50,10,0.06,,
10000,4000,2999.5,1,1,6.06,50,10,0.07,,
10000,4000,2999.5,1,1,6.06,50,10,0.08,,
10000,4000,2999.5,1,1,6.06,50,10,0.09,,
10000,4000,2999.5,1,1,6.06,50,10,0.1,,
10000,4000,2999.5,1,1,6.06,50,10,0.11,,
10000,4000,2999.5,1,1,6.06,50,10,0.12,,
10000,4000,2999.5,1,1,6.06,50,10,0.13,,
10000,4000,2999.5,1,1,6.06,50,10,0.14,,
10000,4000,2999.5,1,1,6.06,50,10,0.15,,
10000,4000,2999.5,1,1,6.06,50,10,0.16,,
10000,4000,2999.5,1,1,6.06,50,10,0.17,,
10000,4000,2999.5,1,1,6.06,50,10,0.18,,
10000,4000,2999.5,1,1,6.06,50,10,0.19,,
10000,4000,2999.5,1,1,6.06,50,10,0.2,,
10000,4000,2999.5,1,1,6.06,50,10,0.21,,
10000,4000,2999.5,1,1,6.06,50,10,0.22,,
10000,4000,2999.5,1,1,6.06,50,10,0.23,,
10000,4000,2999.5,1,1,6.06,50,10,0.24,,
10000,4000,2999.5,1,1,6.06,50,10,0.25,,
10000,4000,2999.5,1,1,6.06,50,10,0.26,,
10000,4000,2999.5,1,1,6.06,50,10,0.27,,
10000,4000,2999.5,1,1,6.06,50,10,0.28,,
10000,4000,2999.5,1,1,6.06,50,10,0.29,,
10000,4000,2999.5,1,1,6.06,50,10,0.3,,
10000,4000,2999.5,1,1,6.06,50,10,0.31,,
10000,4000,2999.5,1,1,6.06,50,10,0.32,,
10000,4000,2999.5,1,1,6.06,50,10,0.33,,
10000,4000,2999.5,1,1,6.06,50,10,0.34,,
10000,4000,2999.5,1,1,6.06,50,10,0.35,,
10000,4000,2999.5,1,1,6.06,50,10,0.36,,
10000,4000,2999.5,1,1,6.06,50,10,0.37,,
10000,4000,2999.5,1,1,6.06,50,10,0.38,,
10000,4000,2999.5,1,1,6.06,50,10,0.39,,
10000,4000,2999.5,1,1,6.06,50,10,0.4,,
10000,4000,2999.5,1,1,6.06,50,10,0.41,,
10000,4000,2999.5,1,1,6.06,50,10,0.42,,
10000,4000,2999.5,1,1,6.06,50,10,0.43,,
10000,4000,2999.5,1,1,6.06,50,10,0.44,,
10000,4000,2999.5,1,1,6.06,50,10,0.45,,
10000,4000,2999.5,1,1,6.06,50,10,0.46,,
10000,4000,2999.5,1,1,6.06,50,10,0.47,,
10000,4000,2999.5,1,1,6.06,50,10,0.48,,
10000,4000,2999.5,1,1,6.06,50,10,0.49,,
10000,4000,2999.5,1,1,6.06,50,10,0.5,,
10000,4000,2998,1,1,6.06,50,10,0.01,,
10000,4000,2998,1,1,6.06,50,10,0.02,,
10000,4000,2998,1,1,6.06,50,10,0.03,,
10000,4000,2998,1,1,6.06,50,10,0.04,,
10000,4000,2998,1,1,6.06,50,10,0.05,,
10000,4000,2998,1,1,6.06,50,10,0.06,,
10000,4000,2998,1,1,6.06,50,10,0.07,,
10000,4000,2998,1,1,6.06,50,10,0.08,,
10000,4000,2998,1,1,6.06,50,10,0.09,,
10000,4000,2998,1,1,6.06,50,10,0.1,,
10000,4000,2998,1,1,6.06,50,10,0.11,,
10000,4000,2998,1,1,6.06,50,10,0.12,,
10000,4000,2998,1,1,6.06,50,10,0.13,,
10000,4000,2998,1,1,6.06,50,10,0.14,,
10000,4000,2998,1,1,6.06,50,10,0.15,,
10000,4000,2998,1,1,6.06,50,10,0.16,,
10000,4000,2998,1,1,6.06,50,10,0.17,,
10000,4000,2998,1,1,6.06,50,10,0.18,,
10000,4000,2998,1,1,6.06,50,10,0.19,,
10000,4000,2998,1,1,6.06,50,10,0.2,,
10000,4000,2998,1,1,6.06,50,10,0.21,,
10000,4000,2998,1,1,6.06,50,10,0.22,,
10000,4000,2998,1,1,6.06,50,10,0.23,,
10000,4000,2998,1,1,6.06,50,10,0.24,,
10000,4000,2998,1,1,6.06,50,10,0.25,,
10000,4000,2998,1,1,6.06,50,10,0.26,,
10000,4000,2998,1,1,6.06,50,10,0.27,,
10000,4000,2998,1,1,6.06,50,10,0.28,,
10000,4000,2998,1,1,6.06,50,10,0.29,,
10000,4000,2998,1,1,6.06,50,10,0.3,,
10000,4000,2998,1,1,6.06,50,10,0.31,,
10000,4000,2998,1,1,6.06,50,10,0.32,,
10000,4000,2998,1,1,6.06,50,10,0.33,,
10000,4000,2998,1,1,6.06,50,10,0.34,,
10000,4000,2998,1,1,6.06,50,10,0.35,,
10000,4000,2998,1,1,6.06,50,10,0.36,,
10000,4000,2998,1,1,6.06,50,10,0.37,,
10000,4000,2998,1,1,6.06,50,10,0.38,,
10000,4000,2998,1,1,6.06,50,10,0.39,,
10000,4000,2998,1,1,6.06,50,10,0.4,,
10000,4000,2998,1,1,6.06,50,10,0.41,,
10000,4000,2998,1,1,6.06,50,10,0.42,,
10000,4000,2998,1,1,6.06,50,10,0.43,,
10000,4000,2998,1,1,6.06,50,10,0.44,,
10000,4000,2998,1,1,6.06,50,10,0.45,,
10000,4000,2998,1,1,6.06,50,10,0.46,,
10000,4000,2998,1,1,6.06,50,10,0.47,,
10000,4000,2998,1,1,6.06,50,10,0.48,,
10000,4000,2998,1,1,6.06,50,10,0.49,,
10000,4000,2998,1,1,6.06,50,10,0.5,,
10000,4000,2999,1,1,5.06,50,10,0.01,,
10000,4000,2999,1,1,5.06,50,10,0.02,,
10000,4000,2999,1,1,5.06,50,10,0.03,,
10000,4000,2999,1,1,5.06,50,10,0.04,,
10000,4000,2999,1,1,5.06,50,10,0.05,,
10000,4000,2999,1,1,5.06,50,10,0.06,,
10000,4000,2999,1,1,5.06,50,10,0.07,,
10000,4000,2999,1,1,5.06,50,10,0.08,,
10000,4000,2999,1,1,5.06,50,10,0.09,,
10000,4000,2999,1,1,5.06,50,10,0.1,,
10000,4000,2999,1,1,5.06,50,10,0.11,,
10000,4000,2999,1,1,5.06,50,10,0.12,,
10000,4000,2999,1,1,5.06,50,10,0.13,,
10000,4000,2999,1,1,5.06,50,10,0.14,,
10000,4000,2999,1,1,5.06,50,10,0.15,,
10000,4000,2999,1,1,5.06,50,10,0.16,,
10000,4000,2999,1,1,5.06,50,10,0.17,,
10000,4000,2999,1,1,5.06,50,10,0.18,,
10000,4000,2999,1,1,5.06,50,10,0.19,,
10000,4000,2999,1,1,5.06,50,10,0.2,,
10000,4000,2999,1,1,5.06,50,10,0.21,,
10000,4000,2999,1,1,5.06,50,10,0.22,,
10000,4000,2999,1,1,5.06,50,10,0.23,,
10000,4000,2999,1,1,5.06,50,10,0.24,,
10000,4000,2999,1,1,5.06,50,10,0.25,,
10000,4000,2999,1,1,5.06,50,10,0.26,,
10000,4000,2999,1,1,5.06,50,10,0.27,,
10000,4000,2999,1,1,5.06,50,10,0.28,,
10000,4000,2999,1,1,5.06,50,10,0.29,,
10000,4000,2999,1,1,5.06,50,10,0.3,,
10000,4000,2999,1,1,5.06,50,10,0.31,,
10000,4000,2999,1,1,5.06,50,10,0.32,,
10000,4000,2999,1,1,5.06,50,10,0.33,,
10000,4000,2999,1,1,5.06,50,10,0.34,,
10000,4000,2999,1,1,5.06,50,10,0.35,,
10000,4000,2999,1,1,5.06,50,10,0.36,,
10000,4000,2999,1,1,5.06,50,10,0.37,,
10000,4000,2999,1,1,5.06,50,10,0.38,,
10000,4000,2999,1,1,5.06,50,10,0.39,,
10000,4000,2999,1,1,5.06,50,10,0.4,,
10000,4000,2999,1,1,5.06,50,10,0.41,,
10000,4000,2999,1,1,5.06,50,10,0.42,,
10000,4000,2999,1,1,5.06,50,10,0.43,,
10000,4000,2999,1,1,5.06,50,10,0.44,,
10000,4000,2999,1,1,5.06,50,10,0.45,,
10000,4000,2999,1,1,5.06,50,10,0.46,,
10000,4000,2999,1,1,5.06,50,10,0.47,,
10000,4000,2999,1,1,5.06,50,10,0.48,,
10000,4000,2999,1,1,5.06,50,10,0.49,,
10000,4000,2999,1,1,5.06,50,10,0.5,,
10000,4000,2999.5,1,1,5.06,50,10,0.01,,
10000,4000,2999.5,1,1,5.06,50,10,0.02,,
